Feature,SHAP_Importance
HR_stft_mean_power,0.7730474
Resp_stft_ultra_slow_mean_power,0.64235795
HR_stft_temporal_power_min,0.4119972
MAP_stft_slow_std_power,0.29056346
Temp_stft_total_power,0.23634903
MAP_stft_slow_temporal_variability,0.2224293
Resp_stft_ultra_slow_temporal_variability,0.2075365
Shock_Index_stft_temporal_power_min,0.12146706
Glucose_stft_temporal_trend,0.10297816
Shock_Index_stft_moderate_mean_power,0.09249365
Resp_stft_ultra_slow_std_power,0.082502246
Shock_Index_stft_slow_mean_power,0.04659995
Shock_Index_stft_fast_max_power,0.035543393
HR_stft_total_power,0.026604325
Resp_stft_mean_power,0.023376608
O2Sat_stft_ultra_slow_max_power,0.022907011
HR_stft_ultra_slow_mean_power,0.0122636715
HR_stft_ultra_slow_std_power,0.011998295
SBP_stft_ultra_slow_power_ratio,0.0065788333
Shock_Index_stft_mean_power,0.0048986473
O2Sat_stft_temporal_power_mean,0.0
O2Sat_stft_temporal_concentration,0.0
Temp_stft_mean_power,0.0
HR_stft_fast_mean_power,0.0
HR_stft_temporal_power_mean,0.0
O2Sat_stft_total_power,0.0
O2Sat_stft_mean_power,0.0
HR_stft_slow_mean_power,0.0
O2Sat_stft_ultra_slow_mean_power,0.0
O2Sat_stft_ultra_slow_std_power,0.0
O2Sat_stft_ultra_slow_power_ratio,0.0
O2Sat_stft_ultra_slow_temporal_variability,0.0
O2Sat_stft_slow_mean_power,0.0
O2Sat_stft_moderate_mean_power,0.0
O2Sat_stft_fast_mean_power,0.0
HR_stft_moderate_mean_power,0.0
Temp_stft_slow_max_power,0.0
Temp_stft_slow_mean_power,0.0
Temp_stft_ultra_slow_temporal_variability,0.0
Temp_stft_ultra_slow_spectral_centroid,0.0
Temp_stft_ultra_slow_power_ratio,0.0
Temp_stft_ultra_slow_std_power,0.0
Temp_stft_ultra_slow_max_power,0.0
Temp_stft_ultra_slow_mean_power,0.0
Temp_stft_spectral_flatness,0.0
Temp_stft_spectral_entropy,0.0
Temp_stft_spectral_spread,0.0
Temp_stft_spectral_centroid,0.0
Temp_stft_max_power,0.0
Temp_stft_slow_power_ratio,0.0
Temp_stft_moderate_mean_power,0.0
Temp_stft_slow_std_power,0.0
Temp_stft_temporal_power_mean,0.0
Temp_stft_fast_temporal_variability,0.0
Temp_stft_fast_power_ratio,0.0
Temp_stft_temporal_power_std,0.0
Temp_stft_temporal_concentration,0.0
MAP_stft_total_power,0.0
Temp_stft_slow_spectral_centroid,0.0
Temp_stft_slow_temporal_variability,0.0
Temp_stft_moderate_spectral_centroid,0.0
Temp_stft_moderate_temporal_variability,0.0
Temp_stft_fast_mean_power,0.0
Temp_stft_fast_max_power,0.0
Temp_stft_fast_std_power,0.0
Temp_stft_moderate_max_power,0.0
Temp_stft_moderate_std_power,0.0
Temp_stft_moderate_power_ratio,0.0
MAP_stft_fast_max_power,0.0
MAP_stft_moderate_temporal_variability,0.0
MAP_stft_moderate_std_power,0.0
MAP_stft_moderate_max_power,0.0
MAP_stft_slow_power_ratio,0.0
MAP_stft_slow_max_power,0.0
MAP_stft_max_power,0.0
MAP_stft_ultra_slow_max_power,0.0
Temp_stft_temporal_power_max,0.0
Temp_stft_temporal_power_min,0.0
MAP_stft_temporal_power_std,0.0
Resp_stft_temporal_power_mean,0.0
Resp_stft_ultra_slow_power_ratio,0.0
MAP_stft_fast_temporal_variability,0.0
MAP_stft_temporal_power_max,0.0
MAP_stft_fast_std_power,0.0
Shock_Index_stft_ultra_slow_temporal_variability,0.0
Shock_Index_stft_ultra_slow_std_power,0.0
Shock_Index_stft_ultra_slow_mean_power,0.0
Shock_Index_stft_total_power,0.0
Shock_Index_stft_moderate_max_power,0.0
Shock_Index_stft_slow_max_power,0.0
Shock_Index_stft_slow_std_power,0.0
Shock_Index_stft_slow_temporal_variability,0.0
Shock_Index_stft_fast_mean_power,0.0
Shock_Index_stft_moderate_temporal_variability,0.0
Shock_Index_stft_moderate_std_power,0.0
Shock_Index_stft_fast_std_power,0.0
Shock_Index_stft_temporal_power_mean,0.0
Shock_Index_stft_fast_temporal_variability,0.0
Shock_Index_stft_temporal_power_max,0.0
Shock_Index_stft_temporal_power_std,0.0
