Feature,Importance
HR_stft_mean_power,0.19748257
Resp_stft_ultra_slow_mean_power,0.11278606
Resp_stft_ultra_slow_temporal_variability,0.08524408
Temp_stft_total_power,0.083694264
Glucose_stft_temporal_trend,0.077445015
MAP_stft_slow_std_power,0.066026114
HR_stft_temporal_power_min,0.0609825
Shock_Index_stft_moderate_mean_power,0.059530772
MAP_stft_slow_temporal_variability,0.04213801
Shock_Index_stft_slow_mean_power,0.04210603
O2Sat_stft_ultra_slow_max_power,0.026107553
Shock_Index_stft_temporal_power_min,0.024434842
Resp_stft_ultra_slow_std_power,0.01675168
Shock_Index_stft_moderate_max_power,0.01621627
Resp_stft_mean_power,0.01596801
Shock_Index_stft_fast_max_power,0.013774696
HR_stft_total_power,0.01339268
HR_stft_ultra_slow_mean_power,0.008565152
Shock_Index_stft_ultra_slow_mean_power,0.0079627335
HR_stft_ultra_slow_std_power,0.006857221
SBP_stft_ultra_slow_power_ratio,0.006385685
HR_stft_temporal_power_mean,0.0057417494
Shock_Index_stft_mean_power,0.003975709
Resp_stft_ultra_slow_power_ratio,0.003616295
HR_stft_fast_mean_power,0.0028142538
HR_stft_slow_mean_power,0.0
O2Sat_stft_mean_power,0.0
O2Sat_stft_total_power,0.0
O2Sat_stft_ultra_slow_mean_power,0.0
O2Sat_stft_ultra_slow_std_power,0.0
O2Sat_stft_ultra_slow_power_ratio,0.0
O2Sat_stft_ultra_slow_temporal_variability,0.0
O2Sat_stft_slow_mean_power,0.0
O2Sat_stft_moderate_mean_power,0.0
O2Sat_stft_fast_mean_power,0.0
HR_stft_moderate_mean_power,0.0
Temp_stft_slow_max_power,0.0
Temp_stft_slow_mean_power,0.0
Temp_stft_ultra_slow_temporal_variability,0.0
Temp_stft_ultra_slow_spectral_centroid,0.0
Temp_stft_ultra_slow_power_ratio,0.0
Temp_stft_ultra_slow_std_power,0.0
Temp_stft_ultra_slow_max_power,0.0
Temp_stft_ultra_slow_mean_power,0.0
Temp_stft_spectral_flatness,0.0
Temp_stft_spectral_entropy,0.0
Temp_stft_spectral_spread,0.0
Temp_stft_spectral_centroid,0.0
Temp_stft_max_power,0.0
Temp_stft_mean_power,0.0
O2Sat_stft_temporal_concentration,0.0
O2Sat_stft_temporal_power_mean,0.0
Temp_stft_temporal_power_mean,0.0
Temp_stft_fast_temporal_variability,0.0
Temp_stft_fast_power_ratio,0.0
Temp_stft_slow_std_power,0.0
Temp_stft_moderate_mean_power,0.0
Temp_stft_slow_power_ratio,0.0
Temp_stft_slow_spectral_centroid,0.0
Temp_stft_slow_temporal_variability,0.0
Temp_stft_moderate_spectral_centroid,0.0
Temp_stft_moderate_temporal_variability,0.0
Temp_stft_fast_mean_power,0.0
Temp_stft_fast_max_power,0.0
Temp_stft_fast_std_power,0.0
Temp_stft_moderate_max_power,0.0
Temp_stft_moderate_std_power,0.0
Temp_stft_moderate_power_ratio,0.0
MAP_stft_fast_max_power,0.0
MAP_stft_moderate_temporal_variability,0.0
MAP_stft_moderate_std_power,0.0
MAP_stft_moderate_max_power,0.0
MAP_stft_slow_power_ratio,0.0
MAP_stft_slow_max_power,0.0
MAP_stft_max_power,0.0
MAP_stft_ultra_slow_max_power,0.0
Temp_stft_temporal_power_max,0.0
Temp_stft_temporal_power_min,0.0
MAP_stft_total_power,0.0
Temp_stft_temporal_concentration,0.0
Temp_stft_temporal_power_std,0.0
MAP_stft_fast_std_power,0.0
MAP_stft_temporal_power_std,0.0
MAP_stft_fast_temporal_variability,0.0
Shock_Index_stft_ultra_slow_temporal_variability,0.0
Shock_Index_stft_ultra_slow_std_power,0.0
Resp_stft_temporal_power_mean,0.0
Shock_Index_stft_total_power,0.0
MAP_stft_temporal_power_max,0.0
Shock_Index_stft_slow_temporal_variability,0.0
Shock_Index_stft_slow_std_power,0.0
Shock_Index_stft_slow_max_power,0.0
Shock_Index_stft_fast_mean_power,0.0
Shock_Index_stft_moderate_temporal_variability,0.0
Shock_Index_stft_moderate_std_power,0.0
Shock_Index_stft_fast_std_power,0.0
Shock_Index_stft_temporal_power_mean,0.0
Shock_Index_stft_fast_temporal_variability,0.0
Shock_Index_stft_temporal_power_max,0.0
Shock_Index_stft_temporal_power_std,0.0
