iter	Passed	Remaining
0	105	105655
1	112	55894
2	132	43872
3	150	37354
4	168	33622
5	189	31409
6	210	29815
7	229	28486
8	248	27384
9	265	26310
10	283	25526
11	302	24915
12	321	24382
13	339	23927
14	358	23515
15	362	22303
16	380	21995
17	399	21808
18	418	21591
19	435	21354
20	453	21154
21	471	20949
22	488	20739
23	507	20627
24	523	20426
25	541	20277
26	559	20171
27	577	20047
28	588	19710
29	606	19596
30	612	19147
31	622	18833
32	640	18761
33	657	18680
34	674	18610
35	685	18346
36	702	18275
37	719	18205
38	734	18101
39	751	18045
40	767	17951
41	785	17920
42	801	17847
43	817	17756
44	826	17532
45	842	17475
46	858	17398
47	874	17339
48	882	17136
49	899	17082
50	916	17062
51	933	17024
52	950	16984
53	966	16939
54	984	16908
55	1000	16869
56	1019	16862
57	1026	16671
58	1036	16533
59	1054	16517
60	1071	16501
61	1080	16351
62	1087	16169
63	1097	16048
64	1117	16068
65	1135	16064
66	1152	16054
67	1158	15884
68	1178	15898
69	1196	15894
70	1214	15895
71	1232	15882
72	1248	15852
73	1264	15821
74	1279	15785
75	1295	15755
76	1304	15633
77	1320	15605
78	1325	15453
79	1341	15423
80	1357	15403
81	1373	15373
82	1388	15337
83	1403	15310
84	1419	15281
85	1423	15127
86	1439	15108
87	1455	15081
88	1470	15055
89	1487	15037
90	1504	15023
91	1520	15010
92	1537	14994
93	1553	14968
94	1569	14947
95	1586	14937
96	1602	14915
97	1619	14908
98	1636	14893
99	1652	14873
100	1668	14855
101	1683	14825
102	1699	14797
103	1715	14777
104	1731	14757
105	1746	14732
106	1755	14648
107	1771	14632
108	1787	14609
109	1802	14582
110	1817	14558
111	1823	14456
112	1839	14440
113	1856	14429
114	1872	14410
115	1877	14307
116	1893	14286
117	1910	14280
118	1916	14186
119	1933	14176
120	1949	14163
121	1971	14188
122	1978	14105
123	1995	14100
124	2012	14088
125	2031	14094
126	2037	14008
127	2042	13913
128	2058	13900
129	2076	13899
130	2093	13890
131	2120	13941
132	2136	13927
133	2152	13911
134	2168	13893
135	2184	13878
136	2200	13861
137	2219	13864
138	2227	13800
139	2243	13780
140	2248	13698
141	2264	13680
142	2279	13663
143	2288	13604
144	2304	13586
145	2311	13522
146	2327	13503
147	2336	13451
148	2344	13392
149	2360	13373
150	2369	13323
151	2386	13315
152	2403	13306
153	2419	13291
154	2435	13277
155	2451	13262
156	2467	13251
157	2485	13243
158	2502	13237
159	2519	13226
160	2529	13180
161	2545	13167
162	2553	13114
163	2570	13101
164	2587	13094
165	2603	13078
166	2620	13068
167	2635	13053
168	2651	13035
169	2666	13019
170	2682	13005
171	2698	12989
172	2713	12970
173	2729	12958
174	2745	12945
175	2761	12927
176	2776	12911
177	2793	12901
178	2809	12884
179	2824	12867
180	2840	12854
181	2856	12838
182	2873	12826
183	2890	12817
184	2905	12801
185	2920	12781
186	2936	12765
187	2951	12749
188	2967	12735
189	2982	12716
190	2998	12700
191	3016	12692
192	3034	12686
193	3050	12675
194	3066	12660
195	3084	12653
196	3101	12641
197	3116	12625
198	3132	12610
199	3148	12593
200	3163	12576
201	3180	12562
