iter	Passed	Remaining
0	34	34667
1	56	28113
2	77	25813
3	98	24609
4	119	23703
5	139	23174
6	161	22856
7	183	22783
8	206	22763
9	230	22822
10	251	22641
11	272	22428
12	293	22297
13	314	22171
14	335	22023
15	356	21945
16	377	21838
17	399	21794
18	420	21723
19	441	21637
20	462	21554
21	485	21592
22	509	21652
23	531	21618
24	554	21616
25	575	21576
26	598	21566
27	620	21548
28	642	21520
29	664	21478
30	688	21507
31	712	21544
32	733	21489
33	756	21504
34	780	21513
35	802	21487
36	826	21517
37	850	21542
38	872	21498
39	895	21486
40	920	21539
41	941	21467
42	962	21414
43	982	21351
44	1005	21344
45	1028	21334
46	1050	21306
47	1071	21247
48	1091	21191
49	1114	21171
50	1135	21131
51	1157	21108
52	1179	21079
53	1202	21072
54	1225	21050
55	1247	21031
56	1270	21021
57	1292	20986
58	1314	20971
59	1337	20956
60	1360	20938
61	1380	20892
62	1402	20852
63	1425	20843
64	1446	20801
65	1467	20768
66	1488	20726
67	1509	20693
68	1531	20665
69	1552	20632
70	1574	20596
71	1594	20551
72	1615	20518
73	1637	20494
74	1660	20479
75	1685	20494
76	1710	20501
77	1732	20474
78	1753	20441
79	1776	20425
80	1796	20382
81	1816	20340
82	1838	20313
83	1859	20276
84	1880	20238
85	1901	20204
86	1921	20169
87	1943	20141
88	1964	20106
89	1986	20083
90	2008	20063
91	2031	20048
92	2052	20020
93	2074	19990
94	2096	19973
95	2118	19947
96	2139	19920
97	2162	19906
98	2183	19873
99	2205	19849
100	2228	19832
101	2251	19824
102	2277	19833
103	2302	19840
104	2326	19832
105	2349	19817
106	2375	19822
107	2399	19815
108	2422	19798
109	2445	19783
110	2468	19773
111	2493	19767
112	2518	19766
113	2541	19752
114	2565	19742
115	2592	19753
116	2616	19750
117	2642	19750
118	2666	19741
119	2691	19735
120	2715	19725
121	2739	19716
122	2763	19705
123	2787	19688
124	2811	19682
125	2837	19682
126	2863	19684
127	2888	19678
128	2914	19677
129	2941	19684
130	2966	19677
131	2989	19657
132	3013	19645
133	3037	19632
134	3061	19617
135	3086	19609
136	3110	19596
137	3135	19585
138	3160	19575
139	3185	19565
140	3209	19550
141	3234	19542
142	3257	19522
143	3282	19509
144	3306	19497
145	3330	19481
146	3354	19462
147	3378	19450
148	3406	19457
149	3430	19440
150	3455	19429
151	3480	19416
152	3505	19406
153	3530	19392
154	3553	19373
155	3578	19363
156	3604	19352
157	3629	19340
158	3654	19329
159	3680	19324
160	3708	19323
161	3733	19312
